Title,Latitude,Longitude,Power (kW),Connector Type,State,Address,Charger ID,Operator,Google Maps Navigation Link
Palazhi,11.256365,75.811613,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"Palazhi, Road, Pottammal, Kozhikode, Kerala",L1DC0148,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.256365,75.811613"
Thottummaram,11.230935,75.810547,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,Thottummaram,L1DC0271,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.230935,75.810547"
Bolt.Earth Station (673007) - L1DC0111,11.231206,75.817949,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"673007,Kerala",L1DC0111,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.231206,75.817949"
Casa Marina Complex,11.886433,75.372169,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"Casa Marina Complex, Near, AKG Hospital, Talap",L1DC0097,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.886433,75.372169"
Jayanthi Road,11.211878,75.814566,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"Jayanthi Road, Nallalam",L1DC0275,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.211878,75.814566"
MK ROAD THEKKEPURAM IDIYANGARA CALICUT 673003,11.238555,75.779354,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,MK ROAD THEKKEPURAM IDIYANGARA CALICUT 673003,L1DC0541,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.238555,75.779354"
Railwaystation 4th Platform Road,11.246618,75.780244,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"Railwaystation 4th Platform Road, Kuttichira",L1DC0550,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.246618,75.780244"
Homeland Builders,11.259223,75.775427,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"Homeland Builders, PT Usha Road, Vellayil, Kozhikode 673032",L1DC0267,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.259223,75.775427"
Bike spot Ev service,11.254704,75.777984,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"Bike spot Ev service, Aravind crossroad (AG road) old land",L1DC0040,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.254704,75.777984"
Bolt.Earth Station (673032) - L1DC0179,11.252883,75.775394,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"673032,Kerala",L1DC0179,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.252883,75.775394"
Mananchira,11.253202,75.775252,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,Mananchira,L1DC0584,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.253202,75.775252"
Kuniyil Kav Road,11.264203,75.784435,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,Kuniyil Kav Road,L1DC0585,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.264203,75.784435"
Naduvattum,11.191618,75.804353,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,Naduvattum,L1DC0281,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.191618,75.804353"
Ummalathoor,11.268359,75.831119,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,Ummalathoor,L1DC0177,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.268359,75.831119"
Bolt.Earth Station (673591) - L1DC0088,11.700044,76.107115,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"673591,Kerala",L1DC0088,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.700044,76.107115"
National Highway 766,11.641312,76.110098,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,National Highway 766,L1DC0534,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.641312,76.110098"
KLR EV Charging Station chettyarammal Wandoor Malappuram Kerala 679328,11.18497,76.234619,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,KLR EV Charging Station chettyarammal Wandoor Malappuram Kerala 679328,L1DC0103,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.18497,76.234619"
PAYYANADAN EV BY DAYTODAY,11.106484,76.230246,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"PAYYANADAN EV BY DAYTODAY,OOTY ROAD,HIGHSCOOL PADI,NEAR,BHARAT PETROLIUM",L1DC0280,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.106484,76.230246"
Nilambur Malappuram Road Ernad Malappuram,11.175643,76.133004,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"Nilambur Malappuram Road Ernad Malappuram, 676123 Kerala",L1DC0200,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.175643,76.133004"
69/2100,11.213095,76.224403,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"69/2100, Pallimukku",L1DC0718,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.213095,76.224403"
SHEEBA'S EV HUB BY DAYTODAY PALAMADAM,11.227397,76.256935,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"SHEEBA'S EV HUB BY DAYTODAY PALAMADAM, KARAD, P. O VANDOOR, MALAPURAM DIS Palamadam, Karad Post, Wandoor, Kerala 679339",L1DC0579,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.227397,76.256935"
Evas hotal and coolbar  college road mampad Pincode:676542,11.24475,76.183138,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,Evas hotal and coolbar  college road mampad Pincode:676542,L1DC0031,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.24475,76.183138"
Evas hotal and coolbar  areacode puthalam,11.23117,76.054237,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,Evas hotal and coolbar  areacode puthalam,L1DC0033,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.23117,76.054237"
Down Hill Malappuram,11.043823,76.072708,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"Down Hill Malappuram, 676505 Kerala",L1DC0140,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.043823,76.072708"
THUSHARAGIRI ROAD KODANCHERI CALICUT 673580,11.431616,76.007127,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,THUSHARAGIRI ROAD KODANCHERI CALICUT 673580,L1DC0517,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.431616,76.007127"
Erode Bakes,11.556565,76.037647,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"Erode Bakes, NH 47, near sri plus mahal, Erode Bakes, NH 47, near sri plus mahal, Perundurai, Tamil Nadu 638056, Tamil Nadu 638056",L1DC0194,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.556565,76.037647"
Mylanchi Fancy Near St. Jude Church Ooty Road,11.574713,76.0599,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"Mylanchi Fancy Near St. Jude Church Ooty Road, Chundale Wayanad – 673123",L1DC0160,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.574713,76.0599"
AL AMEEMI BY DAY TO DAY,12.104772,75.209056,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"AL AMEEMI BY DAY TO DAY, THEKKE BAZAR, STADIUM ROAD, PAYYANNUR",L1DC0106,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=12.104772,75.209056"
Paramount EV Charging Station,12.339191,75.107506,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"Paramount EV Charging Station, Panathur Road, Mavungal, Kasaragod, pin: 671531",L1DC0010,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=12.339191,75.107506"
EK Nayanar Co Operative Hospital,12.510384,75.035205,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"EK Nayanar Co Operative Hospital, 4th Mile, Chengala, Kasaragod Pincode: 671123",L1DC0175,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=12.510384,75.035205"
Bolt.Earth Station (671531) - L1DC0122,12.40211,75.204041,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"671531,Kerala",L1DC0122,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=12.40211,75.204041"
Choozhal Road,8.30815,77.135831,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Tamil Nadu,Choozhal Road,L1DC0317,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=8.30815,77.135831"
3F 198/3G,10.999387,77.230132,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Tamil Nadu,"3F 198/3G, K",L1DC0531,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=10.999387,77.230132"
Singampunari,10.183451,78.418645,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Tamil Nadu,"Singampunari, Near Mahadev Nursing Home",L1DC0152,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=10.183451,78.418645"
Bolt.Earth Station (641001) - L1DC0422,11.009721,76.958799,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Tamil Nadu,"641001,Tamil Nadu",L1DC0422,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.009721,76.958799"
SF No 237/1B2,11.045585,76.900394,10.0 kW,Type-6 DC Fast,Tamil Nadu,SF No 237/1B2,L1DC0401,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.045585,76.900394"
Roots EV - Battery Operated Electric Vehicles Manufacturer,11.106189,76.943805,6.6 kW,Type-6 DC Fast,Tamil Nadu,"Roots EV - Battery Operated Electric Vehicles Manufacturer, Electric Golf Cart Company, Club Car & Buggy Carts for Sale India 641031",L1DC0357,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.106189,76.943805"
6/13,11.112224,77.134189,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Tamil Nadu,6/13,L1DC0342,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.112224,77.134189"
A2A car wash,11.328493,77.696444,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Tamil Nadu,"A2A car wash, 14/1, Perundurai Road, Playapalyam, Piruvu, near one fine day Hotel EB Officer's Colony, Erode  638011",L1DC0327,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.328493,77.696444"
Kongu Nagar,11.330601,77.724336,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Tamil Nadu,"72, Kongu Nagar, Kalliaynkadu",L1DC0466,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.330601,77.724336"
Tiruppur Road,11.053702,77.326832,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Tamil Nadu,"Tiruppur Road, Chinnakarai",L1DC0716,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.053702,77.326832"
Bolt.Earth Station (637001) - L1DC0237,11.215266,78.173473,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Tamil Nadu,"637001,Tamil Nadu",L1DC0237,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=11.215266,78.173473"
Kalpana Street Name: Vikasha Radial,12.002165,79.813916,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Tamil Nadu,"Kalpana Street Name: Vikasha Radial, Crown Road area,Auroville 605101 (Pondicherry), Tamil Nadu, India Landmark: Humanscapes 605101",L1DC0086,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=12.002165,79.813916"
